,x,y
249,5578822.235464535,-6733394.624191167
250,5709763.539248051,-6714463.4082194
251,5840311.346070372,-6692987.778274342
252,5970416.221421501,-6668975.897979303
253,6100028.8999519665,-6642436.891187035
254,6229100.304112016,-6613380.838468672
255,6357581.56272607,-6581818.7732451325
256,6485424.029486108,-6547762.677553617
257,6612579.301351184,-6511225.477460299
258,6738999.236858967,-6472221.038104796
259,6864635.9743233165,-6430764.158398795
260,6989441.949909802,-6386870.565322812
261,7113369.915769476,-6340556.908096974
262,7236372.957691705,-6291840.75145972
263,7358404.512724823,-6240740.568858641
264,7479418.387700991,-6187275.737462469
265,7599368.775436021,-6131466.527689815
266,7718210.272286228,-6073334.096068756
267,7835897.896825422,-6012900.480947796
268,7952387.104424129,-5950188.588350158
269,8067633.805408572,-5885222.186253789
270,8181594.382834699,-5818025.898058109
271,8294225.706009449,-5748625.187054289
272,8405485.149254803,-5677046.351654038
273,8515330.608262205,-5603316.5158944875
274,8623720.512894593,-5527463.613505175
275,8730613.846371371,-5449516.383384581
276,8835970.159265427,-5369504.356306991
277,8939749.581413383,-5287457.838460987
278,9041912.84420033,-5203407.911019892
279,9142421.294448975,-5117386.416779259
280,9241236.906449398,-5029425.944318296
281,9338322.284961672,-4939559.799209801
282,9433640.697455203,-4847822.017235134
283,9527156.084549623,-4754247.346280955
284,9618833.071286483,-4658871.230153641
285,9708636.966579942,-4561729.778473143
286,9796533.795619005,-4462859.775926149
287,9882490.310297817,-4362298.665274608
288,9966473.99971796,-4260084.530802329
289,10048453.086585173,-4156256.06736412
290,10128396.558565859,-4050852.5856658877
291,10206274.17937488,-3943913.9965390647
292,10282056.49818092,-3835480.7937131976
293,10355714.84338393,-3725594.023197662
294,10427221.351793442,-3614295.283764881
295,10496548.981068352,-3501626.7127278307
296,10563671.517652642,-3387630.9678797186
297,10628563.56891476,-3272351.198022425
298,10691200.588553518,-3155831.03838002
299,10751558.891118165,-3038114.597869188
300,10809615.658126019,-2919246.4401355004
301,10865348.929275744,-2799271.5556772444
302,10918737.622794941,-2678235.352351724
303,10969761.552750302,-2556183.6439650785
304,11018401.432934603,-2433162.630406212
305,11064638.868033815,-2309218.8716733623
306,11108456.36756364,-2184399.2738658832
307,11149837.366618117,-2058751.0787557906
308,11188766.227147456,-1932321.8431277038
309,11225228.229941372,-1805159.4148058172
310,11259209.58090791,-1677311.9148042486
311,11290697.43583905,-1548827.7273958842
312,11319679.89878917,-1419755.4788786613
313,11346146.016101323,-1290144.0156178684
314,11370085.774114417,-1160042.3833360218
315,11391490.126115924,-1029499.8163151565
316,11410350.98871307,-898565.7162371457
317,11426661.232948845,-767289.6306567031
318,11440414.689691534,-635721.2348774023
319,11451606.165957976,-503910.3164294004
320,11460231.442459013,-371906.75510328397
321,11466287.258625692,-239760.50111566117
322,11469771.324589012,-107521.55807043715
323,11470682.331547404,24760.03436677155
324,11469019.94860196,157034.22016631105
325,11464784.807928635,289250.9475442796
326,11457978.509813838,421360.1870735673
327,11448603.638094246,553311.9487784717
328,11436663.742266025,685056.3031607937
329,11422163.34356702,816543.3989666504
330,11405107.93131773,947723.4823822936
331,11385503.960963069,1078546.9160756501
332,11363358.851804052,1208964.1973891128
333,11338680.984072432,1338925.9772079145
334,11311479.695822895,1468383.0784692117
335,11281765.279513624,1597286.5144498781
336,11249548.97795587,1725587.5081627616
337,11214842.97972119,1853237.5118192954
338,11177660.412556615,1980188.2313662858
339,11138015.345033562,2106391.6215379555
340,11095922.780893728,2231799.907760492
341,11051398.642417809,2356365.6347226445
342,11004459.771738576,2480041.6753232684
343,10955123.92420344,2602781.2462534746
344,10903409.763691878,2724537.886108392
345,10849336.8539544,2845265.518422932
346,10792925.651076969,2964918.458358564
347,10734197.49290889,3083451.4224075596
348,10673174.596841259,3200819.553189486
349,10609880.048022794,3316978.433399851
350,10544337.787872603,3431884.1012521265
351,10476572.611895608,3545493.07018362
352,10406610.155141355,3657762.342936657
353,10334476.882064149,3768649.427659993
354,10260200.081808465,3878112.3565332503
355,10183807.849800667,3986109.6970417616
356,10105329.082261596,4092600.5706726466
357,10024793.470477264,4197544.671468106
358,9942231.488978295,4300902.280982027
359,9857674.369673748,4402634.274360683
360,9771154.093065964,4502702.137114368
361,9682703.393009318,4601067.990366032
362,9592355.73839655,4697694.601659075
363,9500145.310856514,4792545.3918021675
364,9406106.986746762,4885584.444944973
365,9310276.345302416,4976776.538330209
366,9212689.648370668,5066087.150670688
367,9113383.82044841,5153482.469806101
368,9012396.424075924,5238929.396309299
369,8909765.669049516,5322395.576537747
370,8805530.391439294,5403849.409395139
371,8699730.035035472,5483260.054396173
372,8592404.622812524,5560597.429407143
373,8483594.764439886,5635832.245453805
374,8373341.635931628,5708936.012879284
375,8261686.961646892,5779881.049380928
376,8148672.984083634,5848640.473170991
377,8034342.46769071,5915188.237159621
378,7918738.6800443,5979499.135841796
379,7801905.373728468,6041548.812686114
380,7683886.75610156,6101313.749955532
381,7564727.488277301,6158771.300121425
382,7444472.668277936,6213899.694743249
383,7323167.812340073,6266678.050529395
384,7200858.825906813,6317086.35733188
385,7077591.997183477,6365105.504422295
386,6953413.982379391,6410717.292662446
387,6828371.7861954,6453904.438534982
388,6702512.73484336,6494650.561879685
389,6575884.464192237,6532940.2047291575
390,6448534.90686887,6568758.847995319
391,6320512.271883228,6602092.91277963
392,6191865.020884766,6632929.751696885
393,6062641.850321563,6661257.655167341
394,5932891.678952258,6687065.871282332
395,5802663.626836477,6710344.603488326
396,5672006.994440195,6731085.004744778
397,5540971.24696273,6749279.193036391
398,5409605.995771049,6764920.255055571
399,5277960.977607372,6778002.240809224
400,5146086.034348213,6788520.160477096
401,5014031.0981899705,6796470.003386542
402,4881846.171392547,6801848.73439238
403,4749581.30546041,6804654.2817495465
404,4617286.58387253,6804885.550288907
405,4485012.103507929,6802542.425277651
406,4352807.955001541,6797625.766336642
407,4220724.202924847,6790137.397530559
408,4088810.868239478,6780080.124823401
409,3957117.908904187,6767457.7295683855
410,3825695.2007620316,6752274.954280495
411,3694592.518832771,6734537.524952014
412,3563859.518460717,6714252.1255048625
413,3433545.7162684826,6691426.406880156
414,3303700.4714141143,6666068.986332707
415,3174372.9676780854,6638189.431619073
416,3045612.193067804,6607798.275312201
417,2917466.9236227702,6574906.993730009
418,2789985.702806126,6539528.015152865
419,2663216.8239381886,6501674.710913804
420,2537208.3130621263,6461361.384430524
421,2412007.90767024,6418603.2808146775
422,2287663.0429436048,6373416.5605686745
423,2164220.8291688617,6325818.314178091
424,2041728.0372298234,6275826.541495486
425,1920231.080569831,6223460.146054025
426,1799775.993386674,6168738.9428738095
427,1680408.4201768776,6111683.628469317
428,1562173.593752524,6052315.78689961
429,1445116.3153649785,5990657.889164617
430,1329280.9480248662,5926733.256614522
431,1214711.387834909,5860566.083198656
432,1101451.051046447,5792181.416319915
433,989542.8677998623,5721605.1254050685
434,879029.2474756902,5648863.930957902
435,769952.0738429776,5573985.37081945
436,662352.6929828649,5496997.78338479
437,556271.8864127655,5417930.317191342
438,451749.86534714163,5336812.902537496
439,348826.2487090791,5253676.251380388
440,247540.05210025093,5168551.839955353
441,147929.67129946317,5081471.899173094
442,50032.8653627257,4992469.405295064
443,-46113.251891438296,4901578.059868964
444,-140472.23003936777,4808832.282277954
445,-233008.2955586859,4714267.195671042
446,-323686.3644309257,4617918.613616621
447,-412472.0569823246,4519823.027008669
448,-499331.7086673641,4420017.5910445405
449,-584232.3851431633,4318540.108774921
450,-667141.8950711427,4215429.016377623
451,-748028.7997144352,4110723.372313314
452,-826862.4266366925,4004462.8398985863
453,-903612.8812093596,3896687.672736352
454,-978251.0579280448,3787438.699547473
455,-1050748.651532006,3676757.3085070495
456,-1121078.1673655084,3564685.432248869
457,-1189212.9328015002,3451265.5307350676
458,-1255127.1063284166,3336540.5763346665
459,-1318795.6887853628,3220554.0354867945
460,-1380194.5321986824,3103349.8531242055
461,-1439300.34470275,2984972.4445245373
462,-1496090.7043692502,2865466.667901104
463,-1550544.0702619175,2744877.8043159246
464,-1602639.7900544284,2623251.5453710454
465,-1652358.0986529684,2500633.982073279
466,-1699680.1336947575,2377071.5816911575
467,-1744587.9438315919,2252611.169163041
468,-1787064.4887554103,2127299.9111585775
469,-1827093.652859714,2001185.2982094286
470,-1864660.2481688308,1874315.1260253906
471,-1899750.0182062266,1746737.4767061519
472,-1932349.6486170762,1618500.7024737033
473,-1962446.767351695,1489653.4055224347
474,-1990029.9507340577,1360244.4199867675
475,-2015088.7308336962,1230322.7944484162
476,-2037613.5926127932,1099937.7713338514
477,-2057595.9847694493,969138.7701391893
478,-2075028.3227800806,837975.3685120028
479,-2089903.9899314786,706497.2829990359
480,-2102217.333965929,574754.3491425037
481,-2111963.6754573425,442796.50318121084
482,-2119139.306640632,310673.7622817028
483,-2123741.4945811396,178436.20654377135
484,-2125768.4878577874,46133.962846195296
485,-2125219.510412666,-86182.81778731669
486,-2122094.7616866305,-218463.97907714322
487,-2116395.417680712,-350659.378498332
488,-2108123.6312199696,-482718.90588566347
489,-2097282.5305786207,-614592.50138862
490,-2083876.2202863365,-746230.1757499442
491,-2067909.7761255002,-877582.0290523383
492,-2049389.2451523407,-1008598.2696947628
493,-2028321.6446692315,-1139229.2332625673
494,-2004714.9555539798,-1269425.4011325457
495,-1978578.1241847717,-1399137.419752744
496,-1949921.0552972541,-1528316.118962516
497,-1918754.6094277878,-1656912.5308652057
498,-1885090.600210602,-1784877.9085866562
499,-1848941.7851731097,-1912163.7439719632
